customer id,purchase_value,purchase_freq,lifespan,customer_clv,first_order_date,second_order_date,datediff,first_order_sales,second_order_sales,log_clv,customer_clv,datediff,first_order_sales,second_order_sales
BH-11710,2.5689,0.0038,0.3077,0.003,2014.6.9,2014.11.11,155 ,3714.3,808.93,,0.003,155 ,3714.3,808.93
AG-10270,0.0879,0.0025,0.0895,0,2014.5.13,2014.7.23,71 ,55.5,99.98,,0,71 ,55.5,99.98
TB-21520,2.5943,0.0063,0.4338,0.0071,2014.10.17,2014.10.21,4 ,130.76,531.38,,0.0071,4 ,130.76,531.38
PO-18865,0.6485,0.0025,0.2661,0.0004,2014.3.23,2014.10.20,211 ,935.15,211.96,,0.0004,211 ,935.15,211.96
BS-11590,0.7763,0.0038,0.4098,0.0012,2014.1.14,2014.8.25,223 ,61.96,30.25,,0.0012,223 ,61.96,30.25
JE-15745,0.7002,0.005,0.4199,0.0015,2014.6.22,2014.11.26,157 ,196.75,19.3,,0.0015,157 ,196.75,19.3
DN-13690,0.4225,0.0038,0.0277,0,2014.9.20,2014.10.8,18 ,587.14,123.92,,0,18 ,587.14,123.92
JC-16105,0.3976,0.0038,0.3644,0.0006,2014.11.18,2014.12.24,36 ,67.15,435.13,,0.0006,36 ,67.15,435.13
KB-16315,0.5424,0.0088,0.3909,0.0019,2014.8.26,2014.12.27,123 ,31.4,300.51,,0.0019,123 ,31.4,300.51
RC-19960,0.2986,0.0025,0.1299,0.0001,2014.8.25,2014.12.6,103 ,199.26,328.91,,0.0001,103 ,199.26,328.91
DB-13060,1.0086,0.0025,0.1412,0.0004,2014.3.1,2014.6.21,112 ,457.57,1326.69,,0.0004,112 ,457.57,1326.69
RM-19675,1.6943,0.005,0.4275,0.0036,2014.11.14,2014.11.19,5 ,69.26,682.91,,0.0036,5 ,69.26,682.91
CB-12025,0.0116,0.0025,0.3039,0,2014.3.21,2014.11.17,241 ,13.46,7.08,,0,241 ,13.46,7.08
BS-11755,0.5659,0.0025,0.0971,0.0001,2014.5.18,2014.8.3,77 ,779.8,221.35,,0.0001,77 ,779.8,221.35
VW-21775,1.721,0.005,0.3417,0.0029,2014.5.11,2014.7.15,65 ,1212.96,9.51,,0.0029,65 ,1212.96,9.51
EA-14035,0.3743,0.005,0.3178,0.0006,2014.9.13,2014.11.1,49 ,18.65,94.26,,0.0006,49 ,18.65,94.26
SB-20290,3.5487,0.0038,0.1677,0.0023,2014.5.9,2014.9.7,121 ,158.71,539.07,,0.0023,121 ,158.71,539.07
KL-16555,0.9959,0.0025,0.2446,0.0006,2014.6.15,2014.12.26,194 ,906.43,855.27,,0.0006,194 ,906.43,855.27
CR-12625,0.2002,0.0025,0.1047,0.0001,2014.6.1,2014.8.23,83 ,334.68,19.44,,0.0001,83 ,334.68,19.44
TS-21205,0.759,0.0063,0.3317,0.0016,2014.3.21,2014.6.9,80 ,16.27,134.6,,0.0016,80 ,16.27,134.6
AG-10525,0.426,0.0025,0.0303,0,2014.8.9,2014.9.2,24 ,193.94,559.71,,0,24 ,193.94,559.71
SP-20860,0.4323,0.0063,0.3329,0.0009,2014.12.15,2014.12.28,13 ,8.54,99.14,,0.0009,13 ,8.54,99.14
NM-18445,3.0358,0.005,0.3392,0.0051,2014.2.8,2014.4.8,59 ,14.56,499.55,,0.0051,59 ,14.56,499.55
JD-15895,0.6939,0.0038,0.1463,0.0004,2014.3.26,2014.4.13,18 ,66.3,558.82,,0.0004,18 ,66.3,558.82
RA-19915,1.1949,0.005,0.3808,0.0023,2014.6.30,2014.9.30,92 ,5.25,48.94,,0.0023,92 ,5.25,48.94
NG-18430,0.3487,0.005,0.4578,0.0008,2014.11.24,2014.12.3,9 ,2.62,479.96,,0.0008,9 ,2.62,479.96
JG-15115,1.1701,0.0025,0.0214,0.0001,2014.9.21,2014.10.8,17 ,2046.35,23.47,,0.0001,17 ,2046.35,23.47
BP-11095,0.548,0.005,0.2459,0.0007,2014.6.7,2014.10.9,124 ,12.46,88.77,,0.0007,124 ,12.46,88.77
LF-17185,2.0727,0.005,0.2799,0.0029,2014.7.26,2014.12.6,133 ,2656.72,23.98,,0.0029,133 ,2656.72,23.98
SP-20650,0.1588,0.0038,0.2535,0.0002,2014.4.16,2014.8.5,111 ,39.07,151.95,,0.0002,111 ,39.07,151.95
SD-20485,0.739,0.005,0.3241,0.0012,2014.1.26,2014.4.6,70 ,908.49,281.85,,0.0012,70 ,908.49,281.85
SC-20095,7.279,0.0063,0.3581,0.0164,2014.2.12,2014.3.4,20 ,129.57,15.55,,0.0164,20 ,129.57,15.55
JS-15940,0.161,0.0038,0.3266,0.0002,2014.5.3,2014.9.21,141 ,21.56,8.54,,0.0002,141 ,21.56,8.54
JP-15520,0.8349,0.0038,0.203,0.0006,2014.8.22,2014.11.9,79 ,7.63,1454.92,,0.0006,79 ,7.63,1454.92
XP-21865,0.5855,0.0038,0.3266,0.0007,2014.1.20,2014.9.28,251 ,689.57,337.09,,0.0007,251 ,689.57,337.09
SA-20830,1.5576,0.0025,0.314,0.0012,2014.2.22,2014.10.29,249 ,19.44,2735.95,,0.0012,249 ,19.44,2735.95
AJ-10960,0.3497,0.0025,0.1349,0.0001,2014.9.14,2014.12.30,107 ,460.22,158.39,,0.0001,107 ,460.22,158.39
BD-11500,0.458,0.0025,0.3216,0.0004,2014.2.1,2014.10.14,255 ,468.9,341.33,,0.0004,255 ,468.9,341.33
CA-12775,0.9417,0.0025,0.0984,0.0002,2014.6.28,2014.9.14,78 ,1639.71,26.13,,0.0002,78 ,1639.71,26.13
AS-10240,0.2139,0.0025,0.2648,0.0001,2014.3.15,2014.10.11,210 ,370.78,7.64,,0.0001,210 ,370.78,7.64
AR-10510,0.0598,0.0025,0.0265,0,2014.5.2,2014.5.23,21 ,26.14,79.64,,0,21 ,26.14,79.64
CA-12265,0.0571,0.0025,0.348,0,2014.3.25,2014.12.26,276 ,92.36,8.69,,0,276 ,92.36,8.69
RP-19390,2.5852,0.0101,0.401,0.0105,2014.5.24,2014.9.13,112 ,116.28,561.73,,0.0105,112 ,116.28,561.73
MC-17845,0.6832,0.0025,0.2119,0.0004,2014.7.5,2014.12.20,168 ,514.03,694.53,,0.0004,168 ,514.03,694.53
NP-18325,0.9676,0.0038,0.0883,0.0003,2014.5.13,2014.6.21,39 ,149.97,425.67,,0.0003,39 ,149.97,425.67
Dl-13600,0.0453,0.0025,0.1173,0,2014.3.30,2014.7.1,93 ,60.24,19.92,,0,93 ,60.24,19.92
SV-20365,0.6786,0.0025,0.1248,0.0002,2014.1.11,2014.4.20,99 ,9.94,1190.53,,0.0002,99 ,9.94,1190.53
CK-12325,0.7196,0.0025,0.1009,0.0002,2014.3.14,2014.6.2,80 ,1139.92,133.13,,0.0002,80 ,1139.92,133.13
MR-17545,0.0778,0.0025,0.0429,0,2014.9.3,2014.10.7,34 ,7.68,129.92,,0,34 ,7.68,129.92
GZ-14470,0.3048,0.0025,0.0429,0,2014.8.5,2014.9.8,34 ,489.23,49.98,,0,34 ,489.23,49.98
MH-17785,1.0228,0.0038,0.2207,0.0009,2014.5.27,2014.9.30,126 ,926.44,15.24,,0.0009,126 ,926.44,15.24
CS-12250,1.086,0.005,0.4489,0.0024,2014.1.13,2014.2.7,25 ,1287.26,64.96,,0.0024,25 ,1287.26,64.96
AJ-10795,0.9477,0.0025,0.2888,0.0007,2014.5.14,2014.12.29,229 ,310.88,1365.63,,0.0007,229 ,310.88,1365.63
DL-12865,0.0272,0.0025,0.1362,0,2014.6.29,2014.10.15,108 ,32.76,15.38,,0,108 ,32.76,15.38
AA-10375,0.1295,0.0038,0.3632,0.0002,2014.4.21,2014.10.24,186 ,16.52,34.27,,0.0002,186 ,16.52,34.27
ZC-21910,2.5907,0.0076,0.4414,0.0087,2014.10.13,2014.12.29,77 ,1549.77,38.98,,0.0087,77 ,1549.77,38.98
PG-18820,0.3401,0.0038,0.4351,0.0006,2014.5.9,2014.7.21,73 ,235.77,35.98,,0.0006,73 ,235.77,35.98
CK-12760,0.0848,0.0025,0.3846,0.0001,2014.2.7,2014.12.9,305 ,115.36,34.68,,0.0001,305 ,115.36,34.68
BK-11260,0.33,0.0038,0.2875,0.0004,2014.8.3,2014.12.6,125 ,163.62,314.55,,0.0004,125 ,163.62,314.55
AJ-10780,2.2949,0.0038,0.4439,0.0039,2014.1.10,2014.10.31,294 ,54.83,1421.66,,0.0039,294 ,54.83,1421.66
SM-20005,0.0734,0.0025,0.0214,0,2014.11.23,2014.12.10,17 ,23.47,106.34,,0,17 ,23.47,106.34
LL-16840,1.4715,0.0038,0.4439,0.0025,2014.4.29,2014.8.12,105 ,17.46,286.65,,0.0025,105 ,17.46,286.65
MS-17365,0.3861,0.005,0.2232,0.0004,2014.9.9,2014.9.22,13 ,103.6,4.61,,0.0004,13 ,103.6,4.61
DL-13315,0.2053,0.0038,0.0404,0,2014.1.16,2014.2.6,21 ,299.96,8.95,,0,21 ,299.96,8.95
SL-20155,0.7588,0.005,0.372,0.0014,2014.9.21,2014.10.3,12 ,66.03,67.76,,0.0014,12 ,66.03,67.76
JK-15730,1.6168,0.005,0.454,0.0037,2014.11.18,2014.12.1,13 ,1109.37,1614.12,,0.0037,13 ,1109.37,1614.12
GT-14710,5.1226,0.0038,0.4275,0.0083,2014.5.23,2014.11.17,178 ,231.16,6160.62,,0.0083,178 ,231.16,6160.62
PB-19150,0.4937,0.0076,0.425,0.0016,2014.7.14,2014.11.29,138 ,55.92,25.06,,0.0016,138 ,55.92,25.06
LA-16780,1.1476,0.0025,0.0921,0.0003,2014.4.29,2014.7.11,73 ,661.5,1368.62,,0.0003,73 ,661.5,1368.62
LC-16885,0.8569,0.0025,0.0404,0.0001,2014.4.25,2014.5.27,32 ,302.38,1213.49,,0.0001,32 ,302.38,1213.49
NF-18595,0.9166,0.005,0.4414,0.002,2014.4.19,2014.9.9,143 ,76.14,91.49,,0.002,143 ,76.14,91.49
HL-15040,1.0708,0.0025,0.1412,0.0004,2014.1.20,2014.5.12,112 ,1859.4,34.79,,0.0004,112 ,1859.4,34.79
AP-10915,0.8749,0.005,0.1009,0.0004,2014.8.23,2014.9.29,37 ,424.38,968.3,,0.0004,37 ,424.38,968.3
AT-10435,0.0117,0.0038,0.3607,0,2014.11.24,2014.12.27,33 ,5.74,11.56,,0,33 ,5.74,11.56
BF-11170,1.1163,0.0038,0.3216,0.0014,2014.4.13,2014.7.12,90 ,7.83,505.69,,0.0014,90 ,7.83,505.69
GM-14680,1.0436,0.0025,0.1173,0.0003,2014.5.10,2014.8.11,93 ,1769.78,76.28,,0.0003,93 ,1769.78,76.28
NP-18700,2.9219,0.0038,0.1362,0.0015,2014.9.5,2014.12.12,98 ,264.32,4630.51,,0.0015,98 ,264.32,4630.51
LW-16825,0.9712,0.0038,0.2257,0.0008,2014.5.30,2014.7.1,32 ,765.49,581.1,,0.0008,32 ,765.49,581.1
LE-16810,0.083,0.0025,0.256,0.0001,2014.5.27,2014.12.16,203 ,17.46,129.44,,0.0001,203 ,17.46,129.44
MN-17935,0.3366,0.0025,0.1828,0.0002,2014.2.16,2014.7.11,145 ,9.04,586.34,,0.0002,145 ,9.04,586.34
HP-14815,0.1424,0.0025,0.2547,0.0001,2014.5.6,2014.11.24,202 ,140.74,111.15,,0.0001,202 ,140.74,111.15
BN-11515,0.2887,0.0025,0.232,0.0002,2014.3.17,2014.9.17,184 ,249.92,260.79,,0.0002,184 ,249.92,260.79
DC-12850,0.2952,0.0038,0.3241,0.0004,2014.7.5,2014.9.13,70 ,502.2,5.46,,0.0004,70 ,502.2,5.46
KT-16465,0.7716,0.0038,0.0227,0.0001,2014.9.8,2014.9.17,9 ,1166.72,52.61,,0.0001,9 ,1166.72,52.61
KM-16720,1.5177,0.005,0.1488,0.0011,2014.3.30,2014.4.1,2 ,49.65,46.69,,0.0011,2 ,49.65,46.69
MS-17770,0.5881,0.0063,0.4136,0.0015,2014.7.4,2014.8.19,46 ,37.44,85.96,,0.0015,46 ,37.44,85.96
Co-12640,0.3072,0.0038,0.2396,0.0003,2014.6.20,2014.11.29,162 ,475.42,5.04,,0.0003,162 ,475.42,5.04
RF-19840,0.0507,0.0025,0.0441,0,2014.11.12,2014.12.17,35 ,49.63,40.05,,0,35 ,49.63,40.05
TB-21400,4.6142,0.005,0.4124,0.0095,2014.1.21,2014.2.3,13 ,25.25,97.11,,0.0095,13 ,25.25,97.11
CK-12205,0.1854,0.0038,0.1753,0.0001,2014.3.11,2014.6.16,97 ,18.78,115.95,,0.0001,97 ,18.78,115.95
